ID,Simplified,Traditional,Pinyin,POS,Level,WebNo,WebPinyin,OCR,Variants,CEDICT
L1-0060,打球,打球,dǎ qiú,,1,1434,dǎ qiú,打球,,打球|打球[da3 qiu2]
L1-0061,大,大,dà,Adj,1,1447,dà,大,,大|大[da4]
L1-0062,大学,大學,dàxué,N,1,1517,dàxué,大学,,大學|大学[da4 xue2]
L1-0063,大学生,大學生,dàxuéshēng,N,1,1518,dàxuéshēng,大学生,,大學生|大学生[da4 xue2 sheng1]
L1-0064,到,到,dào,V,1,1654,dào,到,,到|到[dao4]
L1-0065,得到,得到,dédào,,1,1683,dé∥dào,得到,,得到|得到[de2 dao4]
L1-0066,地,地,de,Aux,1,1698,de,地,,地|地[de5]
L1-0067,的,的,de,Aux,1,1699,de,的,,的|的[de5]
L1-0068,等,等,děng,V,1,1714,děng,等（动）,,等|等[deng3]
L1-0069,地,地,dì,N,1,1755,dì,地,,地|地[di4]
L1-0070,地点,地點,dìdiǎn,N,1,1761,dìdiǎn,地点,,地點|地点[di4 dian3]
L1-0071,地方,地方,dìfang,N,1,1764,dìfang,地方,,地方|地方[di4 fang5]
L1-0072,地上,地上,dìshang,,1,1770,dìshang,地上,,地上|地上[di4 shang5]
L1-0073,地图,地圖,dìtú,N,1,1774,dìtú,地图,,地圖|地图[di4 tu2]
L1-0074,弟弟|弟,弟弟|弟,dìdi|dì,N,1,1785,dìdi|dì,弟弟｜弟,"[{""Simplified"": ""弟弟"", ""Pinyin"": ""dìdi"", ""POS"": ""N"", ""Traditional"": ""弟弟"", ""CEDICT"": ""弟弟|弟弟[di4 di5]""}, {""Simplified"": ""弟"", ""Pinyin"": ""dì"", ""POS"": ""N"", ""Traditional"": ""弟"", ""CEDICT"": ""弟|弟[di4]""}]",弟弟|弟弟[di4 di5]
L1-0075,第（第二）,第（第二）,dì (dì-èr),Prefix,1,1792,dì (dì-èr),第（第二）,"[{""Simplified"": ""第"", ""Pinyin"": ""dì"", ""POS"": ""Prefix"", ""Traditional"": ""第"", ""CEDICT"": ""第|第[di4]""}, {""Simplified"": ""第二"", ""Pinyin"": ""dì-èr"", ""POS"": ""Num"", ""Example"": ""1"", ""Traditional"": ""第二"", ""CEDICT"": ""第二|第二[di4 er4]""}]",第|第[di4]
L1-0076,点,點,diǎn,M/V/N,1,1801,diǎn,点,,點|点[dian3]
L1-0077,电,電,diàn,N,1,1811,diàn,电,,電|电[dian4]
L1-0078,电话,電話,diànhuà,N,1,1819,diànhuà,电话,,電話|电话[dian4 hua4]
L1-0079,电脑,電腦,diànnǎo,N,1,1822,diànnǎo,电脑,,電腦|电脑[dian4 nao3]
L1-0080,电视,電視,diànshì,N,1,1824,diànshì,电视,,電視|电视[dian4 shi4]
L1-0081,电视机,電視機,diànshìjī,N,1,1825,diànshìjī,电视机,,電視機|电视机[dian4 shi4 ji1]
L1-0082,电影,電影,diànyǐng,N,1,1834,diànyǐng,电影,,電影|电影[dian4 ying3]
L1-0083,电影院,電影院,diànyǐngyuàn,N,1,1835,diànyǐngyuàn,电影院,,電影院|电影院[dian4 ying3 yuan4]
L1-0084,东,東,dōng,N,1,1900,dōng,东,,東|东[dong1]
L1-0085,东边,東邊,dōngbian,N,1,1903,dōngbian,东边,,東邊|东边[dong1 bian5]
L1-0086,东西,東西,dōngxi,N,1,1908,dōngxi,东西,,東西|东西[dong1 xi5]
L1-0087,动,動,dòng,V,1,1918,dòng,动,,動|动[dong4]
L1-0088,动作,動作,dòngzuò,N,1,1941,dòngzuò,动作,,動作|动作[dong4 zuo4]
L1-0089,都,都,dōu,Adv,1,1947,dōu,都,,都|都[dou1]
L1-0090,读,讀,dú,V,1,1975,dú,读,,讀|读[du2]
L1-0091,读书,讀書,dúshū,,1,1976,dú∥shū,读书,,讀書|读书[du2 shu1]
L1-0092,对,對,duì,Adj,1,2018,duì,对（形）,,對|对[dui4]
L1-0093,对不起,對不起,duìbuqǐ,V,1,2022,duìbuqǐ,对不起,,對不起|对不起[dui4 bu5 qi3]
L1-0094,多,多,duō,Adj/Pron,1,2052,duō,多（形、代）,,多|多[duo1]
L1-0095,多少,多少,duōshao,Pron,1,2066,duōshao,多少,,多少|多少[duo1 shao5]
L1-0096,饿,餓,è,Adj/V,1,2096,è,饿,,餓|饿[e4]
L1-0097,儿子,兒子,érzi,N,1,2107,érzi,儿子,,兒子|儿子[er2 zi5]
L1-0098,二,二,èr,Num,1,2118,èr,二,,二|二[er4]
L1-0099,饭,飯,fàn,N,1,2230,fàn,饭,,飯|饭[fan4]
L1-0100,饭店,飯店,fàndiàn,N,1,2231,fàndiàn,饭店,,飯店|饭店[fan4 dian4]
L1-0101,房间,房間,fángjiān,N,1,2268,fángjiān,房间,,房間|房间[fang2 jian1]
L1-0102,房子,房子,fángzi,N,1,2270,fángzi,房子,,房子|房子[fang2 zi5]
L1-0103,放,放,fàng,V,1,2278,fàng,放,,放|放[fang4]
L1-0104,放假,放假,fàngjià,,1,2282,fàng∥jià,放假,,放假|放假[fang4 jia4]
L1-0105,放学,放學,fàngxué,,1,2289,fàng∥xué,放学,,放學|放学[fang4 xue2]
L1-0106,飞,飛,fēi,V,1,2293,fēi,飞,,飛|飞[fei1]
L1-0107,飞机,飛機,fēijī,N,1,2295,fēijī,飞机,,飛機|飞机[fei1 ji1]
L1-0108,非常,非常,fēicháng,Adv,1,2304,fēicháng,非常,,非常|非常[fei1 chang2]
L1-0109,分,分,fēn,N/M,1,2328,fēn,分（名、量）,,分|分[fen1]
L1-0110,风,風,fēng,N,1,2387,fēng,风,,風|风[feng1]
L1-0111,干,乾,gān,Adj,1,2559,gān,干,,乾|干[gan1]
L1-0112,干净,乾淨,gānjìng,Adj,1,2564,gānjìng,干净,,乾淨|干净[gan1 jing4]
L1-0113,干,幹,gàn,V,1,2605,gàn,干,,幹|干[gan4]
L1-0114,干什么,幹什麼,gàn shénme,,1,2609,gàn shénme,干什么,,幹什麼|干什么[gan4 shen2 me5]
L1-0115,高,高,gāo,Adj,1,2626,gāo,高,,高|高[gao1]
L1-0116,高兴,高興,gāoxìng,Adj,1,2660,gāoxìng,高兴,,高興|高兴[gao1 xing4]
L1-0117,告诉,告訴,gàosu,V,1,2678,gàosu,告诉,,告訴|告诉[gao4 su5]
L1-0118,哥哥|哥,哥哥|哥,gēge|gē,N,1,2682,gēge|gē,哥哥｜哥,"[{""Simplified"": ""哥哥"", ""Pinyin"": ""gēge"", ""POS"": ""N"", ""Traditional"": ""哥哥"", ""CEDICT"": ""哥哥|哥哥[ge1 ge5]""}, {""Simplified"": ""哥"", ""Pinyin"": ""gē"", ""POS"": ""N"", ""Traditional"": ""哥"", ""CEDICT"": ""哥|哥[ge1]""}]",哥哥|哥哥[ge1 ge5]
L1-0119,歌,歌,gē,N,1,2689,gē,歌,,歌|歌[ge1]
L1-0120,个,個,gè,M,1,2713,gè,个,,個|个[ge4]
L1-0121,给,給,gěi,V/Prep,1,2730,gěi,给,,給|给[gei3]
L1-0122,跟,跟,gēn,Prep/Conj/V,1,2738,gēn,跟,,跟|跟[gen1]
L1-0123,工人,工人,gōngrén,N,1,2761,gōngrén,工人,,工人|工人[gong1 ren2]
L1-0124,工作,工作,gōngzuò,V/N,1,2769,gōngzuò,工作,,工作|工作[gong1 zuo4]
L1-0125,关,關,guān,V,1,2955,guān,关（动）,,關|关[guan1]
L1-0126,关上,關上,guānshang,,1,2965,guānshang,关上,,關上|关上[guan1 shang4]
L1-0127,贵,貴,guì,Adj,1,3063,guì,贵,,貴|贵[gui4]
L1-0128,国,國,guó,N,1,3074,guó,国,,國|国[guo2]
L1-0129,国家,國家,guójiā,N,1,3084,guójiā,国家,,國家|国家[guo2 jia1]
L1-0130,国外,國外,guó wài,,1,3091,guó wài,国外,,國外|国外[guo2 wai4]
L1-0131,过,過,guò,V,1,3104,guò,过,,過|过[guo4]
L1-0132,还,還,hái,Adv,1,3138,hái,还,,還|还[hai2]
L1-0133,还是,還是,háishi,Adv/Conj,1,3139,háishi,还是,,還是|还是[hai2 shi5]
L1-0134,还有,還有,hái yǒu,,1,3140,hái yǒu,还有,,還有|还有[hai2 you3]
L1-0135,孩子,孩子,háizi,N,1,3141,háizi,孩子,,孩子|孩子[hai2 zi5]
L1-0136,汉语,漢語,Hànyǔ,N,1,3189,Hànyǔ,汉语,,漢語|汉语[Han4 yu3]
L1-0137,汉字,漢字,Hànzì,N,1,3190,Hànzì,汉字,,漢字|汉字[han4 zi4]
L1-0138,好,好,hǎo,Adj,1,3215,hǎo,好（形）,,好|好[hao3]
L1-0139,好吃,好吃,hǎochī,Adj,1,3219,hǎochī,好吃,,好吃|好吃[hao3 chi1]
L1-0140,好看,好看,hǎokàn,Adj,1,3228,hǎokàn,好看,,好看|好看[hao3 kan4]
L1-0141,好听,好聽,hǎotīng,Adj,1,3234,hǎotīng,好听,,好聽|好听[hao3 ting1]
L1-0142,好玩儿,好玩兒,hǎowánr,Adj,1,3235,hǎowánr,好玩儿,,好玩兒|好玩儿[hao3 wan2 r5]
L1-0143,号,號,hào,N/M,1,3245,hào,号,,號|号[hao4]
L1-0144,喝,喝,hē,V,1,3259,hē,喝,,喝|喝[he1]
L1-0145,和,和,hé,Prep/Conj,1,3284,hé,和,,和|和[he2]
L1-0146,很,很,hěn,Adv,1,3326,hěn,很,,很|很[hen3]
L1-0147,后,後,hòu,N,1,3366,hòu,后,,後|后[hou4]
L1-0148,后边,後邊,hòubian,N,1,3369,hòubian,后边,,後邊|后边[hou4 bian5]
L1-0149,后天,後天,hòutiān,N,1,3382,hòutiān,后天,,後天|后天[hou4 tian1]
L1-0150,花,花,huā,N,1,3429,huā,花（名）,,花|花[hua1]
L1-0151,话,話,huà,N,1,3475,huà,话,,話|话[hua4]
L1-0152,坏,壞,huài,Adj,1,3489,huài,坏,,壞|坏[huai4]
L1-0153,还,還,huán,V,1,3499,huán,还,,還|还[huan2]
L1-0154,回,回,huí,V,1,3558,huí,回（动）,,回|回[hui2]
L1-0155,回答,回答,huídá,V/N,1,3562,huídá,回答,,回答|回答[hui2 da2]
L1-0156,回到,回到,huídào,V,1,3563,huídào,回到,,回到|回到[hui2 dao4]
L1-0157,回家,回家,huí jiā,,1,3568,huí jiā,回家,,回家|回家[hui2 jia1]
L1-0158,回来,回來,huílái,,1,3571,huí∥·lái,回来,,回來|回来[hui2 lai5]
L1-0159,回去,回去,huíqù,,1,3573,huí∥·qù,回去,,回去|回去[hui2 qu5]
L1-0160,会,會,huì,V,1,3595,huì,会（动）,,會|会[hui4]
L1-0161,火车,火車,huǒchē,N,1,3637,huǒchē,火车,,火車|火车[huo3 che1]
L1-0162,机场,機場,jīchǎng,N,1,3678,jīchǎng,机场,,機場|机场[ji1 chang3]
L1-0163,机票,機票,jīpiào,N,1,3686,jīpiào,机票,,機票|机票[ji1 piao4]
L1-0164,鸡蛋,雞蛋,jīdàn,N,1,3696,jīdàn,鸡蛋,,雞蛋|鸡蛋[ji1 dan4]
L1-0165,几,幾,jǐ,Num/Pron,1,3773,jǐ,几,,幾|几[ji3]
L1-0166,记,記,jì,V,1,3785,jì,记,,記|记[ji4]
L1-0167,记得,記得,jìde,V,1,3786,jìde,记得,,記得|记得[ji4 de5]
L1-0168,记住,記住,jìzhù,,1,3793,jìzhù,记住,,記住|记住[ji4 zhu5]
L1-0169,家,家,jiā,N/M,1,3849,jiā,家,,家|家[jia1]
L1-0170,家里,家裡,jiā li,,1,3857,jiā li,家里,,家裡|家里[jia1 li3]
L1-0171,家人,家人,jiārén,N,1,3859,jiārén,家人,,家人|家人[jia1 ren2]
L1-0172,间,間,jiān,M,1,3914,jiān,间,,間|间[jian1]
L1-0173,见,見,jiàn,V,1,3968,jiàn,见,,見|见[jian4]
L1-0174,见面,見面,jiànmiàn,,1,3972,jiàn∥miàn,见面,,見面|见面[jian4 mian4]
L1-0175,教,教,jiāo,V,1,4083,jiāo,教,,教|教[jiao1]
L1-0176,叫,叫,jiào,V,1,4107,jiào,叫（动）,,叫|叫[jiao4]
L1-0177,教学楼,教學樓,jiàoxuélóu,N,1,4126,jiàoxuélóu,教学楼,,教學樓|教学楼[jiao4 xue2 lou2]
L1-0178,姐姐|姐,姐姐|姐,jiějie|jiě,N,1,4205,jiějie|jiě,姐姐｜姐,"[{""Simplified"": ""姐姐"", ""Pinyin"": ""jiějie"", ""POS"": ""N"", ""Traditional"": ""姐姐"", ""CEDICT"": ""姐姐|姐姐[jie3 jie5]""}, {""Simplified"": ""姐"", ""Pinyin"": ""jiě"", ""POS"": ""N"", ""Traditional"": ""姐"", ""CEDICT"": ""姐|姐[jie3]""}]",姐姐|姐姐[jie3 jie5]
L1-0179,介绍,介紹,jièshào,V,1,4225,jièshào,介绍,,介紹|介绍[jie4 shao4]
L1-0180,今年,今年,jīnnián,N,1,4247,jīnnián,今年,,今年|今年[jin1 nian2]
L1-0181,今天,今天,jīntiān,N,1,4249,jīntiān,今天,,今天|今天[jin1 tian1]
L1-0182,进,進,jìn,V,1,4287,jìn,进,,進|进[jin4]
L1-0183,进来,進來,jìnlái,,1,4298,jìn∥·lái,进来,,進來|进来[jin4 lai2]
L1-0184,进去,進去,jìnqù,,1,4299,jìn∥·qù,进去,,進去|进去[jin4 qu4]
L1-0185,九,九,jiǔ,Num,1,4423,jiǔ,九,,九|九[jiu3]
L1-0186,就,就,jiù,Adv,1,4443,jiù,就,,就|就[jiu4]
L1-0187,觉得,覺得,juéde,V,1,4544,juéde,觉得,,覺得|觉得[jue2 de5]
L1-0188,开,開,kāi,V,1,4575,kāi,开,,開|开[kai1]
L1-0189,开车,開車,kāichē,,1,4580,kāi∥chē,开车,,開車|开车[kai1 che1]
L1-0190,开会,開會,kāihuì,,1,4591,kāi∥huì,开会,,開會|开会[kai1 hui4]
L1-0191,开玩笑,開玩笑,kāi wánxiào,,1,4609,kāi wánxiào,开玩笑,,開玩笑|开玩笑[kai1 wan2 xiao4]
L1-0192,看,看,kàn,V,1,4629,kàn,看,,看|看[kan4]
L1-0193,看病,看病,kànbìng,,1,4630,kàn∥bìng,看病,,看病|看病[kan4 bing4]
L1-0194,看到,看到,kàndào,,1,4635,kàndào,看到,,看到|看到[kan4 dao4]
L1-0195,看见,看見,kànjiàn,,1,4641,kàn∥jiàn,看见,,看見|看见[kan4 jian4]
L1-0196,考,考,kǎo,V,1,4661,kǎo,考,,考|考[kao3]
L1-0197,考试,考試,kǎoshì,,1,4668,kǎo∥shì,考试,,考試|考试[kao3 shi4]
L1-0198,渴,渴,kě,Adj,1,4717,kě,渴,,渴|渴[ke3]
L1-0199,课,課,kè,N,1,4738,kè,课,,課|课[ke4]
L1-0200,课本,課本,kèběn,N,1,4739,kèběn,课本,,課本|课本[ke4 ben3]
L1-0201,课文,課文,kèwén,N,1,4743,kèwén,课文,,課文|课文[ke4 wen2]
L1-0202,口,口,kǒu,M/N,1,4774,kǒu,口,,口|口[kou3]
L1-0203,块,塊,kuài,N/M,1,4828,kuài,块,,塊|块[kuai4]
L1-0204,快,快,kuài,Adj/Adv,1,4829,kuài,快,,快|快[kuai4]
L1-0205,来,來,lái,V,1,4899,lái,来,,來|来[lai2]
L1-0206,来到,來到,láidào,V,1,4902,láidào,来到,,來到|来到[lai2 dao4]
L1-0207,老,老,lǎo,Adj,1,4951,lǎo,老（形）,,老|老[lao3]
L1-0208,老人,老人,lǎorén,N,1,4965,lǎorén,老人,,老人|老人[lao3 ren2]
L1-0209,老师,老師,lǎoshī,N,1,4967,lǎoshī,老师,,老師|老师[lao3 shi1]
L1-0210,了,了,le,Aux,1,4984,le,了,,了|了[le5]
L1-0211,累,累,lèi,Adj,1,4995,lèi,累,,累|累[lei4]
L1-0212,冷,冷,lěng,Adj,1,4997,lěng,冷,,冷|冷[leng3]
L1-0213,里,裡|裏,lǐ,N,1,5029,lǐ,里,,裡|里[li3]/裏|里[li3]
L1-0214,里边,裡邊,lǐbian,N,1,5030,lǐbian,里边,,裡邊|里边[li3 bian5]
L1-0215,两,兩,liǎng,Num,1,5139,liǎng,两（数）,,兩|两[liang3]
L1-0216,零|〇,零|〇,líng|líng,Num,1,5204,líng|líng,零｜〇,"[{""Simplified"": ""零"", ""Pinyin"": ""líng"", ""POS"": ""Num"", ""Traditional"": ""零"", ""CEDICT"": ""零|零[ling2]""}, {""Simplified"": ""〇"", ""Pinyin"": ""líng"", ""POS"": ""Num"", ""Traditional"": ""〇"", ""CEDICT"": ""〇|〇[ling2]""}]",零|零[ling2]
L1-0217,六,六,liù,Num,1,5268,liù,六,,六|六[liu4]
L1-0218,楼,樓,lóu,N,1,5279,lóu,楼,,樓|楼[lou2]
L1-0219,楼上,樓上,lóu shàng,,1,5282,lóu shàng,楼上,,樓上|楼上[lou2 shang4]
L1-0220,楼下,樓下,lóu xià,,1,5284,lóu xià,楼下,,樓下|楼下[lou2 xia4]
L1-0221,路,路,lù,N/M,1,5305,lù,路,,路|路[lu4]
L1-0222,路口,路口,lùkǒu,N,1,5311,lùkǒu,路口,,路口|路口[lu4 kou3]
L1-0223,路上,路上,lùshang,N,1,5315,lùshang,路上,,路上|路上[lu4 shang5]
L1-0224,妈妈|妈,媽媽|媽,māma|mā,N,1,5377,māma|mā,妈妈｜妈,"[{""Simplified"": ""妈妈"", ""Pinyin"": ""māma"", ""POS"": ""N"", ""Traditional"": ""媽媽"", ""CEDICT"": ""媽媽|妈妈[ma1 ma5]""}, {""Simplified"": ""妈"", ""Pinyin"": ""mā"", ""POS"": ""N"", ""Traditional"": ""媽"", ""CEDICT"": ""媽|妈[ma1]""}]",媽媽|妈妈[ma1 ma5]
L1-0225,马路,馬路,mǎlù,N,1,5391,mǎlù,马路,,馬路|马路[ma3 lu4]
L1-0226,马上,馬上,mǎshàng,Adv,1,5392,mǎshàng,马上,,馬上|马上[ma3 shang4]
L1-0227,吗,嗎,ma,Aux,1,5399,ma,吗,,嗎|吗[ma5]
L1-0228,买,買,mǎi,V,1,5405,mǎi,买,,買|买[mai3]
L1-0229,慢,慢,màn,Adj,1,5427,màn,慢,,慢|慢[man4]
L1-0230,忙,忙,máng,Adj,1,5432,máng,忙,,忙|忙[mang2]
L1-0231,毛,毛,máo,M,1,5440,máo,毛（量）,,毛|毛[mao2]
L1-0232,没,沒,méi,Adv/V,1,5458,méi,没,,沒|没[mei2]
L1-0233,没关系,沒關係,méi guānxi,,1,5461,méi guānxi,没关系,,沒關係|没关系[mei2 guan1 xi5]
L1-0234,没什么,沒什麼,méi shénme,,1,5463,méi shénme,没什么,,沒什麼|没什么[mei2 shen2 me5]
L1-0235,没事儿,沒事兒,méishìr,,1,5464,méi∥shìr,没事儿,,沒事兒|没事儿[mei2 shi4 r5]
L1-0236,没有,沒有,méiyǒu,V/Adv,1,5470,méi·yǒu,没有,,沒有|没有[mei2 you3]
L1-0237,妹妹|妹,妹妹|妹,mèimei|mèi,N,1,5505,mèimei|mèi,妹妹｜妹,"[{""Simplified"": ""妹妹"", ""Pinyin"": ""mèimei"", ""POS"": ""N"", ""Traditional"": ""妹妹"", ""CEDICT"": ""妹妹|妹妹[mei4 mei5]""}, {""Simplified"": ""妹"", ""Pinyin"": ""mèi"", ""POS"": ""N"", ""Traditional"": ""妹"", ""CEDICT"": ""妹|妹[mei4]""}]",妹妹|妹妹[mei4 mei5]
L1-0238,门,門,mén,N/M,1,5508,mén,门,,門|门[men2]
L1-0239,门口,門口,ménkǒu,N,1,5511,ménkǒu,门口,,門口|门口[men2 kou3]
L1-0240,门票,門票,ménpiào,N,1,5514,ménpiào,门票,,門票|门票[men2 piao4]
L1-0241,们（朋友们）,們（朋友們）,men (péngyoumen),Suffix,1,5517,men (péngyoumen),们（朋友们）,"[{""Simplified"": ""们"", ""Pinyin"": ""men"", ""POS"": ""Suffix"", ""Traditional"": ""們"", ""CEDICT"": ""們|们[men5]""}, {""Simplified"": ""朋友们"", ""Pinyin"": ""péngyoumen"", ""POS"": ""N"", ""Example"": ""1"", ""Traditional"": ""朋友們"", ""CEDICT"": """"}]",們|们[men5]
L1-0242,米饭,米飯,mǐfàn,N,1,5547,mǐfàn,米饭,,米飯|米饭[mi3 fan4]
L1-0243,面包,麵包,miànbāo,N,1,5575,miànbāo,面包,,麵包|面包[mian4 bao1]
L1-0244,面条儿,麵條兒,miàntiáor,N,1,5588,miàntiáor,面条儿,,麵條兒|面条儿[mian4 tiao2 r5]
L1-0245,名字,名字,míngzi,N,1,5637,míngzi,名字,,名字|名字[ming2 zi5]
L1-0246,明白,明白,míngbai,Adj/V,1,5638,míngbai,明白,,明白|明白[ming2 bai5]
L1-0247,明年,明年,míngnián,N,1,5643,míngnián,明年,,明年|明年[ming2 nian2]
L1-0248,明天,明天,míngtiān,N,1,5646,míngtiān,明天,,明天|明天[ming2 tian1]
L1-0249,拿,拿,ná,V,1,5729,ná,拿,,拿|拿[na2]
L1-0250,哪,哪,nǎ,Pron,1,5734,nǎ,哪,,哪|哪[na3]
L1-0251,哪里,哪裡|哪裏,nǎlǐ,Pron,1,5735,nǎ·lǐ,哪里,,哪裡|哪里[na3 li3]/哪裏|哪里[na3 li3]
L1-0252,哪儿,哪兒,nǎr,Pron,1,5737,nǎr,哪儿,,哪兒|哪儿[na3 r5]
L1-0253,哪些,哪些,nǎxiē,Pron,1,5738,nǎxiē,哪些,,哪些|哪些[na3 xie1]
L1-0254,那,那,nà,Pron,1,5740,nà,那（代）,,那|那[na4]
L1-0255,那边,那邊,nàbiān,Pron,1,5742,nàbiān,那边,,那邊|那边[na4 bian5]
L1-0256,那里,那裡|那裏,nàlǐ,Pron,1,5744,nà·lǐ,那里,,那裡|那里[na4 li5]/那裏|那里[na4 li5]
L1-0257,那儿,那兒,nàr,Pron,1,5746,nàr,那儿,,那兒|那儿[na4 r5]
L1-0258,那些,那些,nàxiē,Pron,1,5748,nàxiē,那些,,那些|那些[na4 xie1]
L1-0259,奶,奶,nǎi,N,1,5758,nǎi,奶,,奶|奶[nai3]
L1-0260,奶奶,奶奶,nǎinai,N,1,5761,nǎinai,奶奶,,奶奶|奶奶[nai3 nai5]
