No,Level,Group,Category,Details,Content
112,2,句子的类型,复句,选择复句,（1）不用关联词语（2）用关联词语：（是）……，还是……
113,2,句子的类型,复句,转折复句,（1）不用关联词语（2）用关联词语：虽然……，但是/可是……；……，不过……
114,2,句子的类型,复句,假设复句,（1）不用关联词语（2）用关联词语：如果……，就……；……的话，就……
115,2,句子的类型,复句,条件复句,只要……，就……
116,2,句子的类型,复句,因果复句,（1）不用关联词语（2）用关联词语：因为……，所以……
117,2,句子的类型,复句,紧缩复句,一……就……
118,2,动作的态,动作的态,持续态,"动词+着 
（1）表示状态的持续（2）表示动作的持续"
119,2,动作的态,动作的态,经历态,用动态助词“过”表示
120,2,特殊表达法,数的表示法,序数表示法,
121,2,特殊表达法,数的表示法,"概数表示法1： 
（1）数词+多+量词（2）数词+量词+多",
122,2,强调的方法,用“就”表示强调,,
123,2,强调的方法,※“是……的”表示强调（见“是……的”句1和“是……的”句2）),,
124,2,提问的方法,用“好吗/可以吗/行吗/怎么样”提问,,
125,2,提问的方法,用“什么时候、什么样、为什么、怎么样、怎样”提问,,
126,2,提问的方法,用“呢”构成的省略式疑问句“代词/名词+呢？”提问,,
127,2,提问的方法,用“是不是”提问,,
128,2,提问的方法,用“吧”提问,,
129,2,口语格式,该……了,,
130,2,口语格式,要/快要/就要……了,,
131,3,语素,前缀,第-、老-、小-,
132,3,语素,后缀,-儿、-家、-们、-头、-子,
133,3,词类,动词,能愿动词,敢
134,3,词类,动词,能愿动词,需要
135,3,词类,动词,离合词,动宾式离合词：帮忙、点头、放假、干杯、见面、结婚、看病、睡觉、洗澡、理发、说话
136,3,词类,动词,离合词,动补式离合词：打开、看见、离开、完成
137,3,词类,代词,疑问代词,"疑问代词的非疑问用法 
（1）任指用法 
①疑问代词+都……②疑问代词……疑问代词……（2）不定指用法"
138,3,词类,代词,指示代词,各、各位、各种、每、任何
139,3,词类,量词,名量词,把、行、架、群、束、双、台、张、支、只、种
140,3,词类,量词,动量词,顿、口、眼
141,3,词类,量词,量词重叠,量词重叠：AA
142,3,词类,副词,程度副词,比较、更加、还3、相当
143,3,词类,副词,范围、协同副词,光、仅、仅仅、就3、至少
144,3,词类,副词,时间副词,本来、才2、曾经、从来、赶紧、赶快、立刻、连忙、始终、已、早已
145,3,词类,副词,频率、重复副词,通常、往往、总、总是
146,3,词类,副词,关联副词,再2
147,3,词类,副词,方式副词,互相、尽量、亲自、相互
148,3,词类,副词,情态副词,大概、恐怕
149,3,词类,副词,语气副词,白、并1、当然、到底、反正、根本、果然、简直、绝对、难道、其实、千万、确实、只好、终于
150,3,词类,介词,引出时间、处所,由1
151,3,词类,介词,引出时间、处所,自从
152,3,词类,介词,引出方向、路径,朝
153,3,词类,介词,引出对象,为2
154,3,词类,介词,引出对象,向2
155,3,词类,介词,引出目的、原因,由于1、因为
156,3,词类,介词,引出目的、原因,为了
157,3,词类,介词,引出施事、受事,把、被、叫、让
158,3,词类,介词,表示排除,除了
159,3,词类,介词,引出凭借、依据,按、按照
160,3,词类,连词,连接分句或句子,并且、不光、不仅、另外、要是、因此、由于2、只有
161,3,词类,拟声词,哈哈,
162,3,短语,结构类型,其他结构类型,其他结构类型2：（1）介宾短语（2）方位短语（3）兼语短语（4）同位短语
163,3,短语,结构类型,数量重叠：数词+量词+数词+量词,
164,3,短语,固定短语,四字格,不A不B
165,3,短语,固定短语,其他,看起来
166,3,短语,固定短语,其他,看上去
167,3,短语,固定短语,其他,有的是
168,3,固定格式,除了……（以外），……还/也/都……,,
169,3,固定格式,从……起,,
170,3,固定格式,对……来说,,
171,3,固定格式,一……也/都+不/没……,,
172,3,固定格式,越……越……,,
173,3,句子成分,主语,动词或动词性短语、形容词或形容词性短语作主语,
174,3,句子成分,宾语,动词或动词性短语、形容词或形容词性短语和主谓短语作宾语,
175,3,句子成分,定语,动词或动词性短语、主谓短语作定语,
176,3,句子成分,补语,结果补语,结果补语2：动词+到/住/走
177,3,句子成分,补语,趋向补语,"趋向补语2 
复合趋向补语的趋向意义用法：动词+出来/出去/过来/过去/回来/回去/进来/进去/ 起来/上来/上去/下来/下去"
178,3,句子成分,补语,可能补语,可能补语1：动词+得/不+动词/形容词；动词+得/不+了
179,3,句子成分,补语,程度补语,程度补语1：形容词/心理动词+得很/极了/死了
180,3,句子成分,补语,数量补语,数量补语 3（动词+动量补语）：宾语和动量补语共现
181,3,句子成分,补语,数量补语,数量补语4（动词+时量补语）：表示动作持续的时间
182,3,句子成分,补语,数量补语,数量补语5（动词+时量补语）：表示动作结束后到某个时间点的间隔时间
183,3,句子的类型,句型,单句,主谓句4：主谓谓语句
184,3,句子的类型,特殊句型,“把”字句,"“把”字句1：表处置 
（1）主语+把+宾语+动词+在/到+处所（2）主语+把+宾语1 +动词（+给）+宾语2（3）主语+把+宾语+动词+结果补语/趋向补语/状态补语"
185,3,句子的类型,特殊句型,被动句,被动句1：主语+被/叫/让+宾语+动词+其他成分
186,3,句子的类型,特殊句型,连动句,"连动句2： 
（1）前一动作是后一动作的方式（2）后一动作是前一动作的目的"
187,3,句子的类型,特殊句型,兼语句,"兼语句1 
表使令：主语+叫/派/请/让……+宾语1 +动词+宾语2"
188,3,句子的类型,特殊句型,比较句,"比较句4： 
（1）A比B +动词+得+形容词 
（2）A不比B +形容词 
（3）A +动词+得+比+ B +形容词 
（4）A比B +多/少/早/晚+动词+数量短语"
189,3,句子的类型,特殊句型,重动句,主语+动词+宾语+动词+补语
190,3,句子的类型,复句,并列复句,（也）……，也……
191,3,句子的类型,复句,并列复句,一会儿……，一会儿……
192,3,句子的类型,复句,并列复句,一方面……，另一方面……
193,3,句子的类型,复句,并列复句,又……，又……
194,3,句子的类型,复句,承接复句,首先……，然后……
195,3,句子的类型,复句,递进复句,……，并且……
196,3,句子的类型,复句,递进复句,不仅/不光……，还/而且……
197,3,句子的类型,复句,选择复句,不是……，就是……
198,3,句子的类型,复句,转折复句,……X是X，就是/不过……
199,3,句子的类型,复句,假设复句,要是……，就……
200,3,句子的类型,复句,条件复句,只有……，才……
201,3,句子的类型,复句,因果复句,（由于）……，所以/因此……
202,3,句子的类型,复句,目的复句,为了……，……
203,3,句子的类型,复句,紧缩复句,……了……（就）……
204,3,特殊表达法,数的表示法,"概数表示法2： 
（1）用“大概、大约、几”表示概数（2）相邻数词连用表示概数（3）用“左右、前后”表示概数",
205,3,强调的方法,用“一点儿也不……”表示强调,,
206,3,强调的方法,"用反问句表示强调 
反问句1：不是……吗？/难道……吗？",,
207,3,强调的方法,用“是”表示强调,,
208,3,提问的方法,用疑问语调表示疑问,,
209,3,口语格式,都……了,,
210,3,口语格式,X就X（点儿）吧,,
211,3,口语格式,X什么（啊）,,
212,4,词类,动词,能愿动词,得
213,4,词类,代词,人称代词,人家
214,4,词类,量词,名量词,打、袋、根、卷、棵、批
215,4,词类,量词,借用量词,"（1）名量词：碗、脸、手、屋子、桌子 
（2）动量词：刀、针"
216,4,词类,副词,程度副词,格外、极、极其
217,4,词类,副词,范围、协同副词,共
218,4,词类,副词,时间副词,按时、即将、急忙、渐渐、尽快
219,4,词类,副词,频率、重复副词,一再、再三
220,4,词类,副词,关联副词,却
221,4,词类,副词,否定副词,未必
222,4,词类,副词,情态副词,几乎、似乎
223,4,词类,副词,语气副词,的确、反而、还4、竟然、究竟
224,4,词类,介词,引出时间、处所,自
225,4,词类,介词,引出对象,对于
226,4,词类,介词,引出对象,关于
227,4,词类,介词,引出对象,替
228,4,词类,介词,引出凭借、依据,根据
229,4,词类,介词,引出凭借、依据,作为
230,4,词类,连词,连接词或词组,并2、以及
231,4,词类,连词,连接分句或句子,此外、而1、而是、既然、可见、甚至、假如、总之
232,4,词类,助词,其他助词,似的
233,4,词类,叹词,啊2,
234,4,短语,固定短语,四字格,大A大B
235,4,短语,固定短语,四字格,一A一B
236,4,短语,固定短语,其他,看来
237,4,短语,固定短语,其他,来得及/来不及
238,4,短语,固定短语,其他,说不定
239,4,短语,固定短语,其他,一般来说
240,4,固定格式,一+量词+比+一+量词,,
241,4,固定格式,（自）……以来,,
242,4,固定格式,由……组成,,
243,4,固定格式,在……方面,,
244,4,固定格式,在……上/下/中,,
245,4,句子成分,主语,主谓短语作主语,
246,4,句子成分,主语,受事主语,
247,4,句子成分,定语,多项定语,
248,4,句子成分,补语,趋向补语,"趋向补语3 
表示结果意义（引申用法）：动词+上/出/起/下"
249,4,句子的类型,特殊句型,“把”字句,"“把”字句2：表处置（1） 
主语+把+宾语+动词（+一/了）+动词（2）主语+把+宾语（+给）+动词+了/着（3）主语+把+宾语+动词+动量补语/时量补语"
250,4,句子的类型,特殊句型,被动句,被动句2：主语+被+动词+其他成分
251,4,句子的类型,特殊句型,存现句,"存现句2： 
（1）表示出现：处所词+动词+趋向补语/结果补语+动态助词（了）+数量短语+人/物（2）表示消失：处所词+动词+结果补语+动态助词（了）+数量短语+人/物"
252,4,句子的类型,特殊句型,兼语句,"兼语句2 
（1）表爱憎义：主语+表扬/批评+宾语1+动词+宾语2（2）表称谓或认定义：主语+叫/称（呼）/说/收/选+宾语1 +做/为/当/是+宾语2"
253,4,句子的类型,特殊句型,“是……的”句,“是……的”句2：强调说话人的看法或态度
254,4,句子的类型,复句,并列复句,不是……，而是……
255,4,句子的类型,复句,并列复句,既……，又/也……
256,4,句子的类型,复句,承接复句,首先……，其次……
257,4,句子的类型,复句,承接复句,……，于是……
258,4,句子的类型,复句,递进复句,……，甚至……
259,4,句子的类型,复句,选择复句,或者……，或者……
260,4,句子的类型,复句,转折复句,……，然而……
261,4,句子的类型,复句,假设复句,……，否则……
262,4,句子的类型,复句,假设复句,假如……，（就）……
263,4,句子的类型,复句,假设复句,万一……，（就）……
264,4,句子的类型,复句,条件复句,不管……，都/也……
265,4,句子的类型,复句,条件复句,无论……，都/也……
266,4,句子的类型,复句,因果复句,既然……，就……
267,4,句子的类型,复句,因果复句,……，可见……
268,4,句子的类型,复句,让步复句,哪怕……，也/还……
269,4,句子的类型,复句,目的复句,……，好……
270,4,句子的类型,复句,紧缩复句,无标记
271,4,句子的类型,复句,紧缩复句,不……也……
272,4,特殊表达法,数的表示法,概数表示法3：数词+来+量词,
273,4,特殊表达法,数的表示法,小数、分数、百分数、倍数的表示法；,
274,4,强调的方法,"用反问句表示强调 
反问句2：由疑问代词构成的反问句",,
275,4,强调的方法,用双重否定表示强调,,
276,4,强调的方法,用“一+量词（+名词）+也（都）/也没（不）……”表示强调,,
277,4,强调的方法,用“连……也/都……”表示强调,,
278,4,口语格式,不X白不X,,
279,4,口语格式,动词+一X是一X,,
280,4,口语格式,（没）有什么（好）X的,,
281,4,口语格式,X是X，Y是Y,,
282,4,口语格式,X也得X，不X也得X,,
283,4,口语格式,X就是了,,
284,4,口语格式,还X呢,,
285,4,口语格式,你X你的吧,,
286,4,口语格式,让/叫你X你就X,,
287,4,口语格式,说什么/怎么（着）也得X,,
288,5,词类,代词,指示代词,彼此、如此
289,5,词类,量词,名量词,册、朵、幅、届、颗、匹、扇
290,5,词类,副词,程度副词,过于、可1、稍、稍微、尤其
291,5,词类,副词,范围、协同副词,大都
292,5,词类,副词,时间副词,不时、将、将要、仍旧、时常、时刻、依旧、一向
293,5,词类,副词,频率、重复副词,偶尔、再次
294,5,词类,副词,方式副词,偷偷
295,5,词类,副词,语气副词,毕竟、不免、差（一）点儿、倒是、干脆、就4、居然、可2、明明、总算
296,5,词类,介词,引出时间、处所,随着
297,5,词类,介词,引出目的、原因,将
298,5,词类,介词,引出施事、受事,由2
299,5,词类,介词,引出凭借、依据,凭
300,5,词类,介词,引出凭借、依据,依据
301,5,词类,介词,引出凭借、依据,依照
302,5,词类,连词,连接分句或句子,从而、加上、完了、一旦
303,5,词类,助词,其他助词,也好
304,5,短语,固定短语,四字格,A来A去
305,5,短语,固定短语,四字格,A着A着
306,5,短语,固定短语,四字格,没A没B
307,5,短语,固定短语,四字格,说A就A
308,5,短语,固定短语,四字格,有A有B
309,5,短语,固定短语,其他,不得了
310,5,短语,固定短语,其他,不敢当
311,5,短语,固定短语,其他,得了
312,5,短语,固定短语,其他,用不着
313,5,固定格式,从……来看,,
314,5,固定格式,到……为止,,
315,5,固定格式,够……的,,
316,5,固定格式,拿……来说,,
317,5,固定格式,A的A，B的B,,
318,5,固定格式,在……看来,,
319,5,句子成分,宾语,宾语的语义类型1：（1）施事宾语；（2）受事宾语,
320,5,句子成分,状语,多项状语,
321,5,句子成分,补语,趋向补语,"趋向补语4 
表示时间意义（引申用法） 
（1）表示动作行为的开始：动词+上/起来（2）表示动作行为的持续：动词+下去/下来"
322,5,句子成分,补语,可能补语,可能补语2：动词+得/不得
323,5,句子成分,补语,程度补语,"程度补语2： 
（1）形容词/心理动词+得+不得了/慌/厉害；（2）动词/形容词+坏/透+了"
324,5,句子成分,补语,状态补语,"状态补语2：动词/形容词+得+短语 
（1）动词/形容词+得+动词短语（2）动词/形容词+得+主谓短语（3）动词/形容词+得+固定短语"
325,5,句子的类型,特殊句型,“有”字句,"“有”字句3： 
（1）表示存在、具有：主语+有+着+宾语（2）表示附着：主语+动词+有+宾语"
326,5,句子的类型,特殊句型,“把”字句,"“把”字句3：表处置 
（1）主语+把+宾语+状语+动词 
（2）主语+把+宾语+一+动词 
（3）主语+把+宾语+动词+了 
（4）主语+把+宾语1+动词+宾语2"
327,5,句子的类型,特殊句型,被动句,被动句3：意念被动句
328,5,句子的类型,特殊句型,连动句,连动句3：前后两个动词性词语具有因果、转折、条件关系
329,5,句子的类型,特殊句型,兼语句,"兼语句3 
表致使：主语+叫/令/使/让+人称代词+动词短语"
330,5,句子的类型,特殊句型,比较句,"比较句5：（1）跟……相比 
（2）A+形容词+B+数量补语"
331,5,句子的类型,复句,选择复句,或是……，或是……
332,5,句子的类型,复句,转折复句,尽管……，但是/可是……
333,5,句子的类型,复句,假设复句,一旦……，就……
334,5,句子的类型,复句,假设复句,要是……，（就）……，否则……
335,5,句子的类型,复句,条件复句,除非……，才……
336,5,句子的类型,复句,条件复句,除非……，否则/不然……
337,5,句子的类型,复句,因果复句,……，因而……
338,5,句子的类型,复句,让步复句,即使……，也……
339,5,句子的类型,复句,目的复句,……，为的是……
340,5,句子的类型,复句,目的复句,……，以便……
341,5,句子的类型,复句,紧缩复句,没有……就没有……
342,5,句子的类型,复句,紧缩复句,再……也……
343,5,句子的类型,复句,多重复句,二重复句1：单句+复句；复句+单句
344,5,强调的方法,用“再也不/没”表示强调,,
345,5,强调的方法,用副词“可”表示强调,,
346,5,强调的方法,用“怎么都/也+不/没”表示强调,,
347,5,口语格式,X也不是，Y也不是,,
348,5,口语格式,X也X不得，Y也Y不得,,
349,5,口语格式,X是它，Y也是它,,
350,5,口语格式,X着也是X着,,
351,5,口语格式,X归X，Y归Y,,
352,5,口语格式,不管怎样说,,
353,5,口语格式,看你X的/瞧他X的,,
354,5,口语格式,真有你/他/她的,,
355,5,口语格式,X什么X,,
356,5,口语格式,什么X不X（的）,,
357,5,句群,形式分类,用代词复指,（1）用人称代词复指（2）用指示代词复指（3）各种代词相间使用
358,5,句群,形式分类,带省略成分,（1）省略主语（2）省略宾语
359,6,语素,前缀,类前缀：超-、多-、反-、无-、亚-、准-,
360,6,语素,后缀,类后缀：-化、-式、-型、-性,
361,6,词类,代词,指示代词,本、此
362,6,词类,量词,名量词,餐、串、滴、副、股、集、枝
363,6,词类,量词,动量词,番、声、趟
364,6,词类,副词,程度副词,特、异常
365,6,词类,副词,范围、协同副词,尽、净、一齐、一同
366,6,词类,副词,时间副词,时时、一时、早晚
367,6,词类,副词,关联副词,便
368,6,词类,副词,方式副词,不禁、赶忙、亲眼、特地、特意
369,6,词类,副词,情态副词,仿佛
370,6,词类,副词,语气副词,才3、刚好、偏、恰好
371,6,词类,介词,引出时间、处所,于
372,6,词类,介词,引出方向、路径,沿（着）
373,6,词类,介词,引出对象,同1、与1
374,6,词类,介词,引出对象,至于
375,6,词类,介词,引出目的、原因,因
376,6,词类,介词,表示排除,除
377,6,词类,介词,引出凭借、依据,据
378,6,词类,连词,连接词或词组,而2、同2、与2
379,6,词类,连词,连接分句或句子,不料、可3、若
380,6,词类,助词,结构助词,所
381,6,词类,助词,语气助词,罢了、啦、嘛
382,6,短语,结构类型,基本结构类型,数词+形容词+量词
383,6,短语,固定短语,四字格,或A或B
384,6,短语,固定短语,四字格,无A无B
385,6,短语,固定短语,四字格,A这A那
386,6,短语,固定短语,四字格,左A右B
387,6,短语,固定短语,其他,不怎么
388,6,短语,固定短语,其他,不怎么样
389,6,短语,固定短语,其他,好（不）容易
390,6,短语,固定短语,其他,那倒（也）是
391,6,短语,固定短语,其他,就是说/这就是说
392,6,短语,固定短语,其他,算了
393,6,固定格式,A一+量词，B一+量词,,
394,6,固定格式,东一A，西一A,,
395,6,固定格式,为了……而……,,
396,6,句子成分,宾语,"宾语的语义类型2： 
（1）处所宾语（2）结果宾语",
397,6,句子成分,补语,趋向补语,"趋向补语5 
表示状态意义（引申用法）：动词/形容词+下来/下去/起来/过来"
398,6,句子的类型,特殊句型,“把”字句,"“把”字句4：表致使 
（1）主语（非生物体）+把+宾语+动词+其他成分 
（2）主语+把+宾语（施事）+动词+其他成分"
399,6,句子的类型,特殊句型,被动句,被动句4：主语+被/叫/让+宾语+给+动词+其他成分
400,6,句子的类型,复句,并列复句,时而……，时而……
401,6,句子的类型,复句,并列复句,一时……一时……
402,6,句子的类型,复句,承接复句,……便……
403,6,句子的类型,复句,递进复句,不但不/不但没有……，反而……
404,6,句子的类型,复句,递进复句,不是……，还/还是……
405,6,句子的类型,复句,递进复句,连……都/也……，……更……
406,6,句子的类型,复句,选择复句,要么……，要么……
407,6,句子的类型,复句,转折复句,虽……，但/可/却/也……
408,6,句子的类型,复句,假设复句,……，要不然/不然……
409,6,句子的类型,复句,条件复句,凡是……，都……
410,6,句子的类型,复句,让步复句,就算/就是……也……
411,6,句子的类型,复句,紧缩复句,不……不……
412,6,句子的类型,复句,多重复句,二重复句2：复句+复句
413,6,强调的方法,用“非……不可”表示强调,,
414,6,口语格式,X到Y头上来了,,
415,6,口语格式,X就X吧,,
416,6,口语格式,X是X,,
417,6,口语格式,不X不……，一X……,,
418,6,口语格式,好你个X,,
419,6,口语格式,动词+什么（就）是什么,,
420,6,口语格式,早（也）不X，晚（也）不X,,
421,6,口语格式,看/瞧+把+宾语（施事）+ X 得,,
422,6,口语格式,放着X不Y,,
423,6,口语格式,X来X去，都是/就是 ……,,
424,6,口语格式,X了就X了，（没）有……,,
425,6,口语格式,这/那也不X，那/这也不Y,,
426,7-9,词类,动词,能愿动词,需
427,7-9,词类,代词,疑问代词,何
428,7-9,词类,代词,指示代词,该、另、兹
429,7-9,词类,量词,名量词,（1）栋、粒、枚、则、盏（2）复合量词：人次
430,7-9,词类,副词,关联副词,亦
431,7-9,词类,介词,引出方向、路径,顺着
432,7-9,词类,连词,连接词或词组,及
433,7-9,词类,连词,连接分句或句子,继而、要不是
434,7-9,词类,助词,结构助词,之
435,7-9,短语,结构类型,基本结构类型,数词+量词+抽象事物
436,7-9,短语,固定短语,四字格,爱A不A
437,7-9,短语,固定短语,四字格,半A半B
438,7-9,短语,固定短语,四字格,东A西B
439,7-9,短语,固定短语,四字格,非A非B
440,7-9,短语,固定短语,四字格,忽A忽B
441,7-9,短语,固定短语,四字格,连A带B
442,7-9,短语,固定短语,四字格,时A时B
443,7-9,短语,固定短语,四字格,自A自B
444,7-9,短语,固定短语,其他,巴不得
445,7-9,短语,固定短语,其他,别提了
446,7-9,短语,固定短语,其他,除此之外
447,7-9,短语,固定短语,其他,归根到底
448,7-9,短语,固定短语,其他,可不是
449,7-9,短语,固定短语,其他,没说的
450,7-9,短语,固定短语,其他,无论如何
451,7-9,短语,固定短语,其他,由此可见
452,7-9,固定格式,不知……好,,
453,7-9,固定格式,所谓……就是……,,
454,7-9,固定格式,无非/不过/只不过/只是……而已/罢了,,
455,7-9,固定格式,以……为……,,
456,7-9,固定格式,因……而……,,
457,7-9,句子成分,宾语,"宾语的语义类型3：  
（1）方式宾语（2）工具宾语（3）材料宾语（4）目的宾语",
458,7-9,句子成分,补语,程度补语,程度补语3：（1）形容词/动词+得+不行（2）形容词/动词+得+要命/要死
459,7-9,句子成分,补语,状态补语,状态补语3：“个”引导的补语
460,7-9,句子的类型,特殊句型,“把”字句,"“把”字句5：表致使  
（主语+）把+宾语（施事）+动词+了"
461,7-9,句子的类型,特殊句型,被动句,被动句5：（1）被……所……（2）为……所……
462,7-9,句子的类型,特殊句型,比较句,"比较句6：（1）比起……（来） 
（2）A +形容词+于+ B  
（3）A +比+名词+还+名词"
463,7-9,句子的类型,复句,并列复句,一面……，一面……
464,7-9,句子的类型,复句,承接复句,……，此后……
465,7-9,句子的类型,复句,承接复句,起初……，……才……
